Dataset,Source,Domain,Frequency,Chronos,TimesFM,Moirai,Moirai-MoE,Time-GPT,ForecastPFN,MOMENT,Lag-Llama,GPT4TS,Timer,VisionTS,TTM,LLMTime,Time-LMM,UniTime,Time-MoE,Chronos-2,Flowstate,LightGTS,Sundial,TabPFN-TS,Time-MoE2,TinyTimeMixer,TiRex,Toto,YingLong (under review),Gift-Eval,Flowstate(T),TimesFM-ICL,ROSE
Symbols,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
MixedShapesRegularTrain,"UCR Archive (Ismail Fawaz et al., 2019)",Generated,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
ArticularyWordRecognition,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
UWaveGestureLibraryZ,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Epilepsy,"UCR Archive (Ismail Fawaz et al., 2019)",Human,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Healthcare200,"UCR Archive (Ismail Fawaz et al., 2019)",Healthcare,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Weatherbench (Daily),Weather Bench,Weather,W,P,,,,,,,,,,,,,,,P,,possible P,,P,,,,P,P,,,P,,
Weatherbench (Hourly),Weather Bench,Weather,W,P,,,,,,,,,,,,,,,P,,possible P,,P,,,,P,P,,,P,,
Weatherbench (Weekly),Weather Bench,Weather,W,P,,,,,,,,,,,,,,,P,,possible P,,P,,,,P,P,,,P,,
Wiki hourly,Wikipedia Metrics,Web,W,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,
Wiki daily,Wikipedia Metrics,Web,W,P,P,,,,,,,,,,,,,,P,,possible P,,P,,,,P,,,,P,P,
Wiki weekly,Wikipedia Metrics,Web,W,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,
Wiki monthly,Wikipedia Metrics,Web,W,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,
Global Temp,"Corrformer (Wu et al., 2023)",Weather,W,,,,,,,,,,,,,,,,T/T,,,,,,,,,,,,,,
TSMixup 10M,"Chronos (Ansari et al., 2024)",Synthetic,W,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
KernelSynth 1M,"Chronos (Ansari et al., 2024)",Synthetic,W,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
TaxiBJ,"Zhang et al., 2017",Traffic and weather,W,,,,,,,,,,,,,,,,ZS,,,,,,,,,,,,,,
ERA5,"Munoz-Sabater et al., 2021",Weather,W,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,
ERA5,"Munoz-Sabater et al., 2021",Weather,W,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,
ERA5,"Munoz-Sabater et al., 2021",Weather,W,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,
ERA5,"Munoz-Sabater et al., 2021",Weather,W,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,
ERA5,"Munoz-Sabater et al., 2021",Weather,W,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,
ERA5,"Munoz-Sabater et al., 2021",Weather,W,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,
Finance (not published),"Liu et al., 2025 (Sundial)",Finance,W,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,
IoT (not published),"Liu et al., 2025 (Sundial)",IoT,W,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,
BOOM,Cohen et al. (2025) (TOTO),Observational,W,,,,,,,,,,,,,,,,,,,,,,,,,ZS,,,,,
BOOM,Cohen et al. (2025) (TOTO),Observational,W,,,,,,,,,,,,,,,,,,,,,,,,,ZS,,,,,
BOOM,Cohen et al. (2025) (TOTO),Observational,W,,,,,,,,,,,,,,,,,,,,,,,,,ZS,,,,,
BOOM,Cohen et al. (2025) (TOTO),Observational,W,,,,,,,,,,,,,,,,,,,,,,,,,ZS,,,,,
BOOM,Cohen et al. (2025) (TOTO),Observational,W,,,,,,,,,,,,,,,,,,,,,,,,,ZS,,,,,
BOOM,Cohen et al. (2025) (TOTO),Observational,W,,,,,,,,,,,,,,,,,,,,,,,,,ZS,,,,,
BOOM,Cohen et al. (2025) (TOTO),Observational,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
